Accuracy,pad,file
0.696165192,110, 60_second_0.001_alpha_10_fold_100_n_10_k_final_score.csv
0.318584071,101, 60_second_0.001_alpha_10_fold_100_n_1_k_final_score.csv
0.477876106,102, 60_second_0.001_alpha_10_fold_100_n_2_k_final_score.csv
0.504424779,103, 60_second_0.001_alpha_10_fold_100_n_3_k_final_score.csv
0.548672566,104, 60_second_0.001_alpha_10_fold_100_n_4_k_final_score.csv
0.578171091,105, 60_second_0.001_alpha_10_fold_100_n_5_k_final_score.csv
0.610619469,106, 60_second_0.001_alpha_10_fold_100_n_6_k_final_score.csv
0.687315634,107, 60_second_0.001_alpha_10_fold_100_n_7_k_final_score.csv
0.640117994,108, 60_second_0.001_alpha_10_fold_100_n_8_k_final_score.csv
0.669616519,109, 60_second_0.001_alpha_10_fold_100_n_9_k_final_score.csv
0.289044289,11, 60_second_0.001_alpha_10_fold_10_n_1_k_final_score.csv
0.275058275,12, 60_second_0.001_alpha_10_fold_10_n_2_k_final_score.csv
0.272727273,13, 60_second_0.001_alpha_10_fold_10_n_3_k_final_score.csv
0.284382284,14, 60_second_0.001_alpha_10_fold_10_n_4_k_final_score.csv
0.291375291,15, 60_second_0.001_alpha_10_fold_10_n_5_k_final_score.csv
0.303030303,16, 60_second_0.001_alpha_10_fold_10_n_6_k_final_score.csv
0.300699301,17, 60_second_0.001_alpha_10_fold_10_n_7_k_final_score.csv
0.300699301,18, 60_second_0.001_alpha_10_fold_10_n_8_k_final_score.csv
0.27039627,19, 60_second_0.001_alpha_10_fold_10_n_9_k_final_score.csv
0.33490566,25, 60_second_0.001_alpha_10_fold_15_n_10_k_final_score.csv
0.365566038,16, 60_second_0.001_alpha_10_fold_15_n_1_k_final_score.csv
0.308962264,17, 60_second_0.001_alpha_10_fold_15_n_2_k_final_score.csv
0.330188679,18, 60_second_0.001_alpha_10_fold_15_n_3_k_final_score.csv
0.29009434,19, 60_second_0.001_alpha_10_fold_15_n_4_k_final_score.csv
