best_percent, best_zeros, n, k, alpha, fold, true_positive, true_negative, false_negative, false_positive, ones_count, zeros_count, filename
0.696165192,110,100,10,0.001,10,0.961956522,0.380645161,0.619354839,0.038043478,184,155, 60_second_0.001_alpha_10_fold_100_n_10_k_final_score.csv
0.687315634,110,100,10,0.01,10,0.961325967,0.373417722,0.626582278,0.038674033,181,158, 60_second_0.01_alpha_10_fold_100_n_10_k_final_score.csv
0.625368732,110,100,10,0.05,10,0.950617284,0.327683616,0.672316384,0.049382716,162,177, 60_second_0.05_alpha_10_fold_100_n_10_k_final_score.csv
0.643067847,110,100,10,0.1,10,0.963414634,0.342857143,0.657142857,0.036585366,164,175, 60_second_0.1_alpha_10_fold_100_n_10_k_final_score.csv
0.483775811,110,100,10,0.2,10,0.945454545,0.262008734,0.737991266,0.054545455,110,229, 60_second_0.2_alpha_10_fold_100_n_10_k_final_score.csv
0.194690265,110,100,10,0.5,10,0,0.194690265,0.805309735,0,0,339, 60_second_0.5_alpha_10_fold_100_n_10_k_final_score.csv
0.194690265,110,100,10,0.6,10,0,0.194690265,0.805309735,0,0,339, 60_second_0.6_alpha_10_fold_100_n_10_k_final_score.csv
0.194690265,110,100,10,0.7,10,0,0.194690265,0.805309735,0,0,339, 60_second_0.7_alpha_10_fold_100_n_10_k_final_score.csv
0.194690265,110,100,10,0.8,10,0,0.194690265,0.805309735,0,0,339, 60_second_0.8_alpha_10_fold_100_n_10_k_final_score.csv
,,,,,,,,,,,,
