best_percent, best_zeros, n, k, alpha, fold, true_positive, true_negative, false_negative, false_positive, ones_count, zeros_count, filename
0.625368732,110,100,10,0.001,2,0.967948718,0.333333333,0.666666667,0.032051282,156,183, 60_second_0.001_alpha_2_fold_100_n_10_k_final_score.csv
0.764011799,110,100,10,0.001,3,0.970731707,0.447761194,0.552238806,0.029268293,205,134, 60_second_0.001_alpha_3_fold_100_n_10_k_final_score.csv
0.725663717,110,100,10,0.001,4,0.973684211,0.409395973,0.590604027,0.026315789,190,149, 60_second_0.001_alpha_4_fold_100_n_10_k_final_score.csv
0.592920354,110,100,10,0.001,5,0.985611511,0.32,0.68,0.014388489,139,200, 60_second_0.001_alpha_5_fold_100_n_10_k_final_score.csv
0.672566372,110,100,10,0.001,6,0.95,0.358490566,0.641509434,0.05,180,159, 60_second_0.001_alpha_6_fold_100_n_10_k_final_score.csv
0.740412979,110,100,10,0.001,7,0.969543147,0.422535211,0.577464789,0.030456853,197,142, 60_second_0.001_alpha_7_fold_100_n_10_k_final_score.csv
0.684365782,110,100,10,0.001,8,0.956043956,0.369426752,0.630573248,0.043956044,182,157, 60_second_0.001_alpha_8_fold_100_n_10_k_final_score.csv
0.657817109,110,100,10,0.001,9,0.98757764,0.359550562,0.640449438,0.01242236,161,178, 60_second_0.001_alpha_9_fold_100_n_10_k_final_score.csv
0.696165192,110,100,10,0.001,10,0.961956522,0.380645161,0.619354839,0.038043478,184,155, 60_second_0.001_alpha_10_fold_100_n_10_k_final_score.csv
,,,,,,,,,,,,
