best_percent, best_zeros, n, k, alpha, fold, true_positive, true_negative, false_negative, false_positive, ones_count, zeros_count, filename
0.318584071,101,100,1,0.001,10,0.756097561,0.178988327,0.821011673,0.243902439,82,257, 60_second_0.001_alpha_10_fold_100_n_1_k_final_score.csv
0.477876106,102,100,2,0.001,10,0.858208955,0.229268293,0.770731707,0.141791045,134,205, 60_second_0.001_alpha_10_fold_100_n_2_k_final_score.csv
0.504424779,103,100,3,0.001,10,0.872340426,0.242424242,0.757575758,0.127659574,141,198, 60_second_0.001_alpha_10_fold_100_n_3_k_final_score.csv
0.548672566,104,100,4,0.001,10,0.88961039,0.264864865,0.735135135,0.11038961,154,185, 60_second_0.001_alpha_10_fold_100_n_4_k_final_score.csv
0.578171091,105,100,5,0.001,10,0.901234568,0.282485876,0.717514124,0.098765432,162,177, 60_second_0.001_alpha_10_fold_100_n_5_k_final_score.csv
0.610619469,106,100,6,0.001,10,0.912280702,0.303571429,0.696428571,0.087719298,171,168, 60_second_0.001_alpha_10_fold_100_n_6_k_final_score.csv
0.687315634,107,100,7,0.001,10,0.928205128,0.361111111,0.638888889,0.071794872,195,144, 60_second_0.001_alpha_10_fold_100_n_7_k_final_score.csv
0.640117994,108,100,8,0.001,10,0.931428571,0.329268293,0.670731707,0.068571429,175,164, 60_second_0.001_alpha_10_fold_100_n_8_k_final_score.csv
0.669616519,109,100,9,0.001,10,0.970760234,0.363095238,0.636904762,0.029239766,171,168, 60_second_0.001_alpha_10_fold_100_n_9_k_final_score.csv
0.696165192,110,100,10,0.001,10,0.961956522,0.380645161,0.619354839,0.038043478,184,155, 60_second_0.001_alpha_10_fold_100_n_10_k_final_score.csv
