datetime,len_sum,smallest,largest,count_sum,occupied,0xffff,0xbfb8,0x0000,0x0e91,0xab52,0x0cd0,0x469a,0x6493,0xdfb8,0x0e910db012dbfe91
2021-02-03 07:12:49,5948,85,215,108,0,32,38,34,4,0,0,0,0,0,0
2021-02-03 07:16:49,5677,85,213,106,0,33,37,32,0,4,0,0,0,0,0
2021-02-03 07:20:49,8211,85,173,146,0,34,50,48,3,0,4,4,3,0,0
2021-02-03 07:24:49,4951,85,213,94,0,32,31,31,0,0,0,0,0,0,0
2021-02-03 07:28:49,9801,85,213,170,0,34,59,56,4,4,4,4,5,0,0
2021-02-03 07:32:49,4235,85,173,82,0,31,25,26,0,0,0,0,0,0,0
2021-02-03 07:36:49,6243,85,213,114,0,33,41,36,0,4,0,0,0,0,0
2021-02-03 07:40:49,8537,85,215,150,0,35,50,49,4,0,4,4,4,0,0
2021-02-03 07:44:49,5141,85,213,98,0,34,32,32,0,0,0,0,0,0,0
2021-02-03 07:48:49,9647,85,213,166,0,34,59,57,3,4,2,4,3,0,0
2021-02-03 07:52:49,4235,85,173,82,0,31,25,26,0,0,0,0,0,0,0
2021-02-03 07:56:49,6423,85,213,118,0,34,42,38,0,4,0,0,0,0,0
2021-02-03 08:00:49,10407,85,173,190,0,53,64,56,4,0,4,4,5,0,0
2021-02-03 08:04:49,5141,85,213,98,0,34,32,32,0,0,0,0,0,0,0
2021-02-03 08:08:49,9110,85,215,160,0,34,56,49,1,8,4,4,4,0,0
2021-02-03 08:12:49,4140,85,173,80,0,30,24,26,0,0,0,0,0,0,0
2021-02-03 08:16:49,6479,85,213,118,0,34,42,37,0,3,2,0,0,0,0
2021-02-03 08:20:49,7357,85,173,134,0,33,43,47,2,0,2,4,3,0,0
2021-02-03 08:24:49,5141,85,213,98,0,34,33,31,0,0,0,0,0,0,0
2021-02-03 08:28:49,9705,85,213,170,0,35,59,55,4,4,4,4,5,0,0
2021-02-03 08:32:49,3950,85,173,76,0,28,24,24,0,0,0,0,0,0,0
2021-02-03 08:36:49,8050,85,213,144,0,36,54,47,0,4,3,0,0,0,0
2021-02-03 08:40:49,7029,85,215,126,0,33,38,41,4,0,2,4,4,0,0
2021-02-03 08:44:49,5046,85,213,96,0,33,32,31,0,0,0,0,0,0,0
2021-02-03 08:48:49,8969,85,213,158,0,35,55,52,3,4,2,4,3,0,0
2021-02-03 08:52:49,4130,85,173,80,0,29,26,25,0,0,0,0,0,0,0
2021-02-03 08:56:49,8052,85,213,144,0,34,55,47,0,4,4,0,0,0,0
2021-02-03 09:00:49,6168,85,173,116,0,34,33,36,4,0,0,4,5,0,0
2021-02-03 09:04:49,7142,85,213,136,0,49,48,39,0,0,0,0,0,0,0
2021-02-03 09:08:49,9802,85,215,168,0,34,61,55,4,4,4,2,4,0,0
2021-02-03 09:12:49,10015,85,173,174,0,30,63,57,0,0,16,8,0,0,0
2021-02-03 09:16:49,6973,85,213,126,0,34,47,41,0,4,0,0,0,0,0
2021-02-03 09:20:49,7782,85,173,140,0,33,45,48,2,0,4,4,4,0,0
2021-02-03 09:24:49,5236,85,213,100,0,35,33,32,0,0,0,0,0,0,0
2021-02-03 09:28:49,7897,85,215,142,0,35,51,46,4,3,0,0,3,0,0
2021-02-03 09:32:49,6393,85,213,114,0,33,39,36,0,0,4,2,0,0,0
2021-02-03 09:36:49,5540,85,213,104,0,30,36,35,0,3,0,0,0,0,0
2021-02-03 09:40:49,8269,85,215,146,0,34,47,48,4,0,4,3,6,0,0
2021-02-03 09:44:49,5436,85,213,104,0,36,35,33,0,0,0,0,0,0,0
2021-02-03 09:48:49,7893,85,173,142,0,34,50,47,4,3,0,0,4,0,0
2021-02-03 09:52:49,5962,85,213,108,0,34,34,32,0,0,4,4,0,0,0
2021-02-03 09:56:49,6009,85,213,110,0,31,39,38,0,2,0,0,0,0,0
2021-02-03 10:00:49,8152,85,215,144,0,34,48,46,4,0,5,4,3,0,0
2021-02-03 10:04:49,5056,85,213,96,0,32,32,32,0,0,0,0,0,0,0
2021-02-03 10:08:49,9401,85,215,174,0,51,62,49,3,4,0,0,5,0,0
2021-02-03 10:12:49,6299,85,213,114,0,35,36,35,0,0,4,4,0,0,0
2021-02-03 10:16:49,6091,85,213,110,0,31,39,38,0,2,0,0,0,0,0
2021-02-03 10:20:49,8072,85,173,144,0,33,49,48,3,0,4,3,4,0,0
2021-02-03 10:24:49,5341,85,213,102,0,35,34,33,0,0,0,0,0,0,0
2021-02-03 10:28:49,7303,85,173,134,0,34,48,44,2,4,0,0,2,0,0
2021-02-03 10:32:49,5991,85,213,110,1,34,35,33,0,0,4,4,0,0,0
2021-02-03 10:36:49,10557,85,215,182,1,31,54,66,0,4,6,10,11,0,0
2021-02-03 10:40:49,5515,85,215,102,0,35,32,31,2,0,0,0,2,0,0
2021-02-03 10:44:49,6401,85,213,118,0,34,42,38,0,0,4,0,0,0,0
2021-02-03 10:48:49,8028,85,173,144,0,33,48,49,2,4,0,4,4,0,0
2021-02-03 10:52:49,4683,85,213,90,0,33,28,29,0,0,0,0,0,0,0
2021-02-03 10:56:49,7874,85,213,136,0,31,48,45,0,4,4,4,0,0,0
2021-02-03 11:00:49,6505,85,215,118,0,34,40,37,4,0,0,0,3,0,0
2021-02-03 11:04:49,6329,85,213,118,0,35,42,37,0,0,4,0,0,0,0
2021-02-03 11:08:49,8688,85,215,156,0,38,52,52,2,4,0,3,5,0,0
2021-02-03 11:12:49,6075,85,173,118,0,48,39,31,0,0,0,0,0,0,0
2021-02-03 11:16:49,7812,85,213,136,0,31,43,47,0,3,4,4,4,0,0
2021-02-03 11:20:49,6048,85,173,112,0,34,39,36,3,0,0,0,0,0,0
2021-02-03 11:24:49,6149,85,213,114,1,34,40,36,0,0,4,0,0,0,0
2021-02-03 11:28:49,7661,85,215,138,1,34,45,45,3,4,0,4,3,0,0
2021-02-03 11:32:49,7949,85,213,142,1,33,46,47,0,0,8,8,0,0,0
2021-02-03 11:36:49,7234,85,215,132,0,35,44,44,0,4,0,0,5,0,0
2021-02-03 11:40:49,6149,85,213,110,0,31,35,34,0,0,6,4,0,0,0
2021-02-03 11:44:49,4988,85,213,96,0,34,31,31,0,0,0,0,0,0,0
2021-02-03 11:48:49,7843,85,173,142,0,35,50,45,4,4,0,0,4,0,0
2021-02-03 11:52:49,6790,85,213,124,1,33,42,41,0,0,4,4,0,0,0
2021-02-03 11:56:49,10096,85,213,176,1,34,61,60,3,4,4,4,6,0,0
2021-02-03 12:00:49,4235,85,173,82,0,31,25,26,0,0,0,0,0,0,0
2021-02-03 12:04:49,4903,85,213,94,0,34,30,30,0,0,0,0,0,0,0
2021-02-03 12:08:49,9599,85,215,166,0,33,60,55,2,4,4,4,4,0,0
2021-02-03 12:12:49,7461,85,213,142,0,53,49,40,0,0,0,0,0,0,0
2021-02-03 12:16:49,9428,85,213,168,0,35,60,57,2,3,4,4,3,0,0
2021-02-03 12:20:49,4140,85,173,80,0,30,24,26,0,0,0,0,0,0,0
2021-02-03 12:24:49,4998,85,213,96,0,33,31,32,0,0,0,0,0,0,0
2021-02-03 12:28:49,10040,85,213,176,0,35,62,58,4,4,4,4,5,0,0
