datetime,len_sum,smallest,largest,count_sum,occupied,0xffff,0xbfb8,0x0000,0x0e91,0xab52,0x0cd0,0x469a,0x6493,0xdfb8,0x0e910db012dbfe91
2021-02-03 07:13:49,7335,19,215,142,0,43,51,40,8,0,0,0,0,0,0
2021-02-03 07:18:49,9344,19,213,188,0,41,62,58,0,7,8,7,5,0,0
2021-02-03 07:23:49,6656,19,173,128,0,40,44,39,5,0,0,0,0,0,0
2021-02-03 07:28:49,11937,19,213,238,0,41,83,75,8,8,8,7,8,0,0
2021-02-03 07:33:49,5949,85,213,114,0,42,36,36,0,0,0,0,0,0,0
2021-02-03 07:38:49,11467,19,215,230,0,42,81,69,8,8,8,7,7,0,0
2021-02-03 07:43:49,6054,85,213,116,0,42,37,37,0,0,0,0,0,0,0
2021-02-03 07:48:49,10979,19,213,218,0,41,76,69,6,8,6,7,5,0,0
2021-02-03 07:53:49,5949,85,213,114,0,42,36,36,0,0,0,0,0,0,0
2021-02-03 07:58:49,11217,19,213,230,0,42,79,70,8,8,8,7,8,0,0
2021-02-03 08:03:49,8259,85,213,158,0,60,53,45,0,0,0,0,0,0,0
2021-02-03 08:08:49,10556,19,215,216,0,42,74,62,3,13,8,7,7,0,0
2021-02-03 08:13:49,5959,85,213,114,0,41,36,37,0,0,0,0,0,0,0
2021-02-03 08:18:49,10399,19,213,206,0,42,70,66,4,4,8,7,5,0,0
2021-02-03 08:23:49,5864,85,213,112,0,40,36,36,0,0,0,0,0,0,0
2021-02-03 08:28:49,11189,19,213,230,0,43,79,68,9,8,8,7,8,0,0
2021-02-03 08:33:49,5949,85,213,114,0,40,38,36,0,0,0,0,0,0,0
2021-02-03 08:38:49,11576,19,215,232,0,43,81,69,8,9,9,7,6,0,0
2021-02-03 08:43:49,5864,85,213,112,0,40,36,36,0,0,0,0,0,0,0
2021-02-03 08:48:49,10282,19,213,208,0,42,71,64,6,8,5,7,5,0,0
2021-02-03 08:53:49,5949,85,213,114,0,40,38,36,0,0,0,0,0,0,0
2021-02-03 08:58:49,10783,19,213,222,0,42,76,66,7,8,8,7,8,0,0
2021-02-03 09:03:49,7960,85,213,152,0,56,52,44,0,0,0,0,0,0,0
2021-02-03 09:08:49,11267,19,215,226,0,42,81,67,8,8,9,4,7,0,0
2021-02-03 09:13:49,12499,19,213,270,0,42,101,73,0,0,41,13,0,0,0
2021-02-03 09:18:49,9650,19,213,188,0,41,67,59,6,8,0,0,7,0,0
2021-02-03 09:23:49,7836,19,213,156,0,41,50,50,0,0,8,7,0,0,0
2021-02-03 09:28:49,9210,19,215,184,0,43,66,55,8,7,0,0,5,0,0
2021-02-03 09:33:49,7630,19,213,148,0,41,50,45,0,0,8,4,0,0,0
2021-02-03 09:38:49,9276,19,215,184,0,41,62,58,8,6,0,0,9,0,0
2021-02-03 09:43:49,8046,19,213,160,0,43,53,50,0,0,8,6,0,0,0
2021-02-03 09:48:49,9168,19,173,180,0,42,62,57,6,6,0,0,7,0,0
2021-02-03 09:53:49,7199,19,213,142,0,42,44,42,0,0,7,7,0,0,0
2021-02-03 09:58:49,9268,19,215,180,0,41,64,57,8,5,0,0,5,0,0
2021-02-03 10:03:49,8007,19,213,158,0,40,52,50,0,0,9,7,0,0,0
2021-02-03 10:08:49,10695,19,215,214,0,59,75,59,6,7,0,0,8,0,0
2021-02-03 10:13:49,7555,19,213,150,0,43,47,45,0,0,8,7,0,0,0
2021-02-03 10:18:49,9611,19,213,186,0,41,66,61,7,5,0,0,6,0,0
2021-02-03 10:23:49,7951,19,213,158,0,42,53,49,0,0,8,6,0,0,0
2021-02-03 10:28:49,8578,19,173,172,0,42,61,53,4,8,0,0,4,0,0
2021-02-03 10:33:49,7228,19,213,144,0,42,45,43,0,0,7,7,0,0,0
2021-02-03 10:38:49,13263,19,215,282,1,42,79,94,4,7,15,20,21,0,0
2021-02-03 10:43:49,6254,85,213,120,1,43,39,38,0,0,0,0,0,0,0
2021-02-03 10:48:49,10830,19,173,224,1,40,78,69,6,9,8,7,7,0,0
2021-02-03 10:53:49,6169,85,213,118,1,41,38,39,0,0,0,0,0,0,0
2021-02-03 10:58:49,11093,19,215,218,1,43,77,63,8,8,8,6,5,0,0
2021-02-03 11:03:49,6064,85,213,116,1,41,38,37,0,0,0,0,0,0,0
2021-02-03 11:08:49,11380,19,215,232,1,46,80,71,5,8,8,6,8,0,0
2021-02-03 11:13:49,7466,85,173,144,1,55,48,41,0,0,0,0,0,0,0
2021-02-03 11:18:49,10574,19,213,212,1,43,70,65,6,6,8,7,7,0,0
2021-02-03 11:23:49,6074,85,213,116,1,42,37,37,0,0,0,0,0,0,0
2021-02-03 11:28:49,10446,19,215,212,1,41,72,63,6,8,8,7,5,1,1
2021-02-03 11:33:49,9815,19,213,210,0,41,68,65,0,0,20,16,0,0,0
2021-02-03 11:38:49,8410,19,215,168,0,43,55,51,3,8,0,0,8,0,0
2021-02-03 11:43:49,7922,19,213,152,0,42,49,46,0,0,9,6,0,0,0
2021-02-03 11:48:49,9042,19,173,180,0,42,62,55,7,7,0,0,7,0,0
2021-02-03 11:53:49,7951,19,213,158,0,40,52,51,0,0,8,7,0,0,0
2021-02-03 11:58:49,11446,19,213,240,1,42,79,75,6,8,10,8,12,0,0
2021-02-03 12:03:49,6169,85,213,118,1,43,38,37,0,0,0,0,0,0,0
2021-02-03 12:08:49,10931,19,215,218,1,40,76,68,5,7,8,7,7,0,0
2021-02-03 12:13:49,8584,85,213,164,1,61,56,47,0,0,0,0,0,0,0
2021-02-03 12:18:49,10808,19,213,220,1,42,77,69,5,7,8,7,5,0,0
2021-02-03 12:23:49,5911,85,213,114,1,41,36,37,0,0,0,0,0,0,0
2021-02-03 12:28:49,11429,19,213,234,1,42,81,71,9,8,8,7,8,0,0
2021-02-03 12:33:49,6247,85,213,118,1,40,39,39,0,0,0,0,0,0,0
2021-02-03 12:38:49,10474,19,215,208,1,40,73,60,7,8,9,5,6,0,0
2021-02-03 12:43:49,5921,85,213,114,1,42,36,36,0,0,0,0,0,0,0
2021-02-03 12:48:49,10570,19,213,212,1,41,74,64,6,8,7,7,5,0,0
2021-02-03 12:53:49,12681,19,213,274,1,42,98,77,0,0,39,8,10,0,0
