datetime,len_sum,smallest,largest,count_sum,occupied,0xffff,0xbfb8,0x0000,0x0e91,0xab52,0x0cd0,0x469a,0x6493,0xdfb8,0x0e910db012dbfe91
2021-02-03 07:09:34,2636,85,215,44,0,8,19,13,4,0,0,0,0,0,0
2021-02-03 07:10:19,828,85,173,16,0,6,5,5,0,0,0,0,0,0,0
2021-02-03 07:11:04,828,85,173,16,0,6,5,5,0,0,0,0,0,0,0
2021-02-03 07:11:49,733,85,173,14,0,5,4,5,0,0,0,0,0,0,0
2021-02-03 07:12:34,475,95,95,10,0,5,2,3,0,0,0,0,0,0,0
2021-02-03 07:13:19,828,85,173,16,0,6,5,5,0,0,0,0,0,0,0
2021-02-03 07:14:04,1524,85,213,28,0,9,11,8,0,0,0,0,0,0,0
2021-02-03 07:14:49,838,85,173,16,0,5,5,6,0,0,0,0,0,0,0
2021-02-03 07:15:34,933,85,173,18,0,6,6,6,0,0,0,0,0,0,0
2021-02-03 07:16:19,933,85,173,18,0,6,6,6,0,0,0,0,0,0,0
2021-02-03 07:17:04,3166,85,213,52,0,4,20,16,0,4,4,4,0,0,0
2021-02-03 07:17:49,828,85,173,16,0,6,5,5,0,0,0,0,0,0,0
2021-02-03 07:18:34,570,95,95,12,0,6,3,3,0,0,0,0,0,0,0
2021-02-03 07:19:19,3155,85,173,54,0,10,20,18,3,0,0,0,3,0,0
2021-02-03 07:20:04,733,85,173,14,0,5,4,5,0,0,0,0,0,0,0
2021-02-03 07:20:49,828,85,173,16,0,6,5,5,0,0,0,0,0,0,0
2021-02-03 07:21:34,828,85,173,16,0,6,5,5,0,0,0,0,0,0,0
2021-02-03 07:22:19,733,85,173,14,0,5,4,5,0,0,0,0,0,0,0
2021-02-03 07:23:04,828,85,173,16,0,6,5,5,0,0,0,0,0,0,0
2021-02-03 07:23:49,768,95,97,16,0,8,5,3,0,0,0,0,0,0,0
2021-02-03 07:24:34,1241,85,213,22,0,5,8,9,0,0,0,0,0,0,0
2021-02-03 07:25:19,933,85,173,18,0,6,6,6,0,0,0,0,0,0,0
2021-02-03 07:26:04,933,85,173,18,0,6,6,6,0,0,0,0,0,0,0
2021-02-03 07:26:49,2346,85,173,40,0,6,17,13,0,4,0,0,0,0,0
2021-02-03 07:27:34,2633,85,213,42,0,5,14,15,0,0,4,4,0,0,0
2021-02-03 07:28:19,475,95,95,10,0,5,2,3,0,0,0,0,0,0,0
2021-02-03 07:29:04,3482,85,173,60,0,10,21,20,4,0,0,0,5,0,0
2021-02-03 07:29:49,570,95,95,12,0,6,3,3,0,0,0,0,0,0,0
2021-02-03 07:30:34,733,85,173,14,0,5,4,5,0,0,0,0,0,0,0
2021-02-03 07:31:19,828,85,173,16,0,6,5,5,0,0,0,0,0,0,0
2021-02-03 07:32:04,828,85,173,16,0,6,5,5,0,0,0,0,0,0,0
2021-02-03 07:32:49,828,85,173,16,0,6,5,5,0,0,0,0,0,0,0
2021-02-03 07:33:34,733,85,173,14,0,5,4,5,0,0,0,0,0,0,0
2021-02-03 07:34:19,1629,85,213,30,0,9,12,9,0,0,0,0,0,0,0
2021-02-03 07:35:04,570,95,95,12,0,6,3,3,0,0,0,0,0,0,0
2021-02-03 07:35:49,933,85,173,18,0,6,6,6,0,0,0,0,0,0,0
2021-02-03 07:36:34,838,85,173,16,0,5,5,6,0,0,0,0,0,0,0
2021-02-03 07:37:19,3922,85,213,64,0,6,25,21,0,4,4,4,0,0,0
2021-02-03 07:38:04,828,85,173,16,0,6,5,5,0,0,0,0,0,0,0
2021-02-03 07:38:49,3386,85,215,56,0,10,20,18,4,0,0,0,4,0,0
2021-02-03 07:39:34,733,85,173,14,0,5,4,5,0,0,0,0,0,0,0
