datetime,len_sum,smallest,largest,count_sum,occupied,0xffff,0xbfb8,0x0000,0x0e91,0xab52,0x0cd0,0x469a,0x6493,0xdfb8,0x0e910db012dbfe91
2021-02-03 10:00:04,167,167,167,2,0,0,0,1,0,0,0,1,0,0,0
2021-02-03 10:00:09,85,85,85,2,0,0,0,1,0,0,0,1,0,0,0
2021-02-03 10:00:14,85,85,85,2,0,0,0,1,0,0,0,1,0,0,0
2021-02-03 10:00:19,95,95,95,2,0,1,1,0,0,0,0,0,0,0,0
2021-02-03 10:00:24,161,161,161,2,0,0,1,0,0,0,1,0,0,0,0
2021-02-03 10:00:29,161,161,161,2,0,0,1,0,0,0,1,0,0,0,0
2021-02-03 10:00:34,1085,93,167,18,0,0,9,6,0,0,3,0,0,0,0
2021-02-03 10:00:39,95,95,95,2,0,1,0,1,0,0,0,0,0,0,0
2021-02-03 10:00:44,95,95,95,2,0,1,1,0,0,0,0,0,0,0,0
2021-02-03 10:00:49,95,95,95,2,0,1,0,1,0,0,0,0,0,0,0
2021-02-03 10:00:54,258,85,173,4,0,0,2,2,0,0,0,0,0,0,0
2021-02-03 10:00:59,95,95,95,2,0,1,1,0,0,0,0,0,0,0,0
2021-02-03 10:01:04,95,95,95,2,0,1,0,1,0,0,0,0,0,0,0
2021-02-03 10:01:09,95,95,95,2,0,1,0,1,0,0,0,0,0,0,0
2021-02-03 10:01:14,95,95,95,2,0,1,0,1,0,0,0,0,0,0,0
2021-02-03 10:01:19,95,95,95,2,0,1,1,0,0,0,0,0,0,0,0
2021-02-03 10:01:24,173,173,173,2,0,0,1,1,0,0,0,0,0,0,0
2021-02-03 10:01:29,85,85,85,2,0,0,1,1,0,0,0,0,0,0,0
2021-02-03 10:01:34,95,95,95,2,0,1,0,1,0,0,0,0,0,0,0
2021-02-03 10:01:39,95,95,95,2,0,1,1,0,0,0,0,0,0,0,0
2021-02-03 10:01:44,95,95,95,2,0,1,1,0,0,0,0,0,0,0,0
2021-02-03 10:01:49,95,95,95,2,0,1,0,1,0,0,0,0,0,0,0
2021-02-03 10:01:54,97,97,97,2,0,1,0,1,0,0,0,0,0,0,0
2021-02-03 10:01:59,97,97,97,2,0,1,1,0,0,0,0,0,0,0,0
2021-02-03 10:02:04,97,97,97,2,0,1,1,0,0,0,0,0,0,0,0
2021-02-03 10:02:09,95,95,95,2,0,1,1,0,0,0,0,0,0,0,0
2021-02-03 10:02:14,97,97,97,2,0,1,1,0,0,0,0,0,0,0,0
