datetime,len_sum,smallest,largest,count_sum,occupied,0xffff,0xbfb8,0x0000,0x0cd0,0x469a,0xab52,0x0e91,0x6493
2021-03-23 00:00:12,95,95,95,2,0,1,1,0,0,0,0,0,0
2021-03-23 00:00:22,190,95,95,4,0,2,1,1,0,0,0,0,0
2021-03-23 00:00:32,95,95,95,2,0,1,0,1,0,0,0,0,0
2021-03-23 00:00:42,1891,85,213,30,0,1,11,10,4,4,0,0,0
2021-03-23 00:00:52,448,85,173,8,0,2,3,3,0,0,0,0,0
2021-03-23 00:01:02,95,95,95,2,0,1,0,1,0,0,0,0,0
2021-03-23 00:01:12,95,95,95,2,0,1,1,0,0,0,0,0,0
2021-03-23 00:01:22,95,95,95,2,0,1,0,1,0,0,0,0,0
2021-03-23 00:01:32,190,95,95,4,0,2,1,1,0,0,0,0,0
2021-03-23 00:01:42,258,85,173,4,0,0,2,2,0,0,0,0,0
2021-03-23 00:01:52,190,95,95,4,0,2,1,1,0,0,0,0,0
2021-03-23 00:02:02,95,95,95,2,0,1,1,0,0,0,0,0,0
2021-03-23 00:02:12,95,95,95,2,0,1,0,1,0,0,0,0,0
2021-03-23 00:02:22,95,95,95,2,0,1,1,0,0,0,0,0,0
2021-03-23 00:02:32,190,95,95,4,0,2,1,1,0,0,0,0,0
2021-03-23 00:02:42,1504,85,173,24,0,0,12,8,0,0,4,0,0
2021-03-23 00:02:52,190,95,95,4,0,2,1,1,0,0,0,0,0
2021-03-23 00:03:02,95,95,95,2,0,1,0,1,0,0,0,0,0
2021-03-23 00:03:12,483,95,97,10,0,5,4,1,0,0,0,0,0
2021-03-23 00:03:22,593,85,213,10,0,2,4,4,0,0,0,0,0
2021-03-23 00:03:32,458,85,173,8,0,1,3,4,0,0,0,0,0
2021-03-23 00:03:42,95,95,95,2,0,1,1,0,0,0,0,0,0
2021-03-23 00:03:52,190,95,95,4,0,2,1,1,0,0,0,0,0
2021-03-23 00:04:02,95,95,95,2,0,1,0,1,0,0,0,0,0
2021-03-23 00:04:12,95,95,95,2,0,1,1,0,0,0,0,0,0
2021-03-23 00:04:22,553,85,173,10,0,2,4,4,0,0,0,0,0
2021-03-23 00:04:32,95,95,95,2,0,1,0,1,0,0,0,0,0
2021-03-23 00:04:42,95,95,95,2,0,1,1,0,0,0,0,0,0
2021-03-23 00:04:52,95,95,95,2,0,1,0,1,0,0,0,0,0
2021-03-23 00:05:02,190,95,95,4,0,2,1,1,0,0,0,0,0
