datetime,len_sum,smallest,largest,count_sum,occupied,0xffff,0xbfb8,0x0000,0x0cd0,0x469a,0xab52,0x0e91,0x6493
3/23/2021 10:00,6995,1,213,130,0,35,32,47,0,16,0,0,0
3/23/2021 10:04,11280,85,215,192,0,34,59,69,4,20,4,2,0
3/23/2021 10:08,6528,85,215,124,0,45,36,38,0,0,0,0,5
3/23/2021 10:12,7127,85,213,130,0,35,48,41,0,0,4,2,0
3/23/2021 10:16,7231,85,213,130,0,34,40,44,4,4,0,0,4
3/23/2021 10:20,4883,85,213,94,0,34,31,29,0,0,0,0,0
3/23/2021 10:24,10482,85,215,180,0,35,67,59,4,4,4,5,2
3/23/2021 10:28,4355,85,215,82,0,30,24,27,0,0,0,0,1
3/23/2021 10:32,7495,85,215,134,0,34,51,41,0,0,4,4,0
3/23/2021 10:36,7289,85,215,130,0,34,39,46,2,4,0,0,5
3/23/2021 10:40,4883,85,213,94,0,34,30,30,0,0,0,0,0
3/23/2021 10:44,9826,85,213,172,0,35,61,57,4,4,4,3,4
3/23/2021 10:48,4528,85,173,88,0,34,27,27,0,0,0,0,0
3/23/2021 10:52,7338,85,215,128,0,30,48,43,0,0,4,3,0
3/23/2021 10:56,7305,85,215,130,0,34,41,44,4,4,0,0,3
3/23/2021 11:00,4883,85,213,94,0,34,31,29,0,0,0,0,0
3/23/2021 11:04,10813,85,215,182,0,33,66,61,4,4,4,5,5
3/23/2021 11:08,5209,85,213,98,0,34,32,32,0,0,0,0,0
3/23/2021 11:12,13378,85,173,236,0,48,73,79,4,24,4,4,0
3/23/2021 11:16,5803,85,173,110,0,34,34,38,0,0,0,0,4
3/23/2021 11:20,5091,85,213,98,0,34,32,32,0,0,0,0,0
3/23/2021 11:24,10047,85,215,170,0,33,61,58,4,4,4,3,3
3/23/2021 11:28,5456,85,213,104,0,34,35,35,0,0,0,0,0
3/23/2021 11:32,8762,85,215,152,0,31,56,49,4,4,4,4,0
3/23/2021 11:36,5494,85,215,104,2,32,32,35,0,0,0,0,5
3/23/2021 11:40,6107,85,213,114,2,35,40,39,0,0,0,0,0
3/23/2021 11:44,11231,85,213,194,2,35,61,67,4,15,4,4,4
3/23/2021 11:48,5551,85,213,106,2,35,36,35,0,0,0,0,0
3/23/2021 11:52,9916,85,215,168,2,29,61,59,4,8,4,3,0
3/23/2021 11:56,5867,85,215,110,2,35,35,37,0,0,0,0,3
3/23/2021 12:00,6006,85,213,112,1,34,35,39,0,4,0,0,0
3/23/2021 12:04,18818,85,215,312,2,34,83,116,15,51,4,4,5
3/23/2021 12:08,28168,85,213,464,2,35,119,177,37,96,0,0,0
3/23/2021 12:12,11162,85,173,192,2,30,61,66,8,19,4,4,0
3/23/2021 12:16,8677,85,173,162,2,50,50,52,0,6,0,0,4
3/23/2021 12:20,6492,85,213,120,2,34,43,39,4,0,0,0,0
3/23/2021 12:24,8545,85,215,146,2,35,53,49,0,0,3,3,3
3/23/2021 12:28,5611,85,213,106,2,33,35,36,0,2,0,0,0
3/23/2021 12:32,9656,85,215,164,2,31,52,55,4,14,4,4,0
3/23/2021 12:36,6349,85,215,118,2,33,33,43,0,4,0,0,5
3/23/2021 12:40,7748,85,213,140,2,33,54,45,4,0,0,4,0
3/23/2021 12:44,7530,85,213,136,2,35,43,45,0,5,4,0,4
3/23/2021 12:48,5456,85,213,104,2,34,35,35,0,0,0,0,0
3/23/2021 12:52,8086,85,215,144,0,35,55,46,3,0,2,3,0
3/23/2021 12:56,5581,85,215,102,2,29,29,37,0,4,0,0,3
3/23/2021 13:00,7344,85,215,132,2,34,50,40,4,0,0,4,0
3/23/2021 13:04,8544,85,213,152,2,35,42,54,0,14,4,0,3
