datetime,len_sum,smallest,largest,count_sum,occupied,0xffff,0xbfb8,0x0000,0x0cd0,0x469a,0xab52,0x0e91,0x6493
2021-03-23 00:05:02,8943,85,213,162,0,42,57,51,4,4,4,0,0
2021-03-23 00:10:02,8144,85,215,148,0,41,50,49,0,0,0,4,4
2021-03-23 00:15:02,8785,85,213,158,0,41,54,51,4,4,4,0,0
2021-03-23 00:20:02,7899,85,173,146,0,41,50,48,0,0,0,4,3
2021-03-23 00:25:02,8943,85,213,162,0,42,56,52,4,4,4,0,0
2021-03-23 00:30:02,8115,85,215,150,0,42,49,52,0,0,0,2,5
2021-03-23 00:35:02,9406,85,213,168,0,42,60,55,4,3,4,0,0
2021-03-23 00:40:02,10262,85,215,188,0,59,64,57,0,0,0,4,4
2021-03-23 00:45:02,9038,85,213,164,0,43,57,52,4,4,4,0,0
2021-03-23 00:50:02,7804,85,173,144,0,42,48,47,0,0,0,4,3
2021-03-23 00:55:02,9474,85,213,168,0,42,59,55,4,4,4,0,0
2021-03-23 01:00:02,8042,85,215,148,0,42,50,50,0,0,0,3,3
2021-03-23 01:05:02,8073,85,213,146,0,40,48,46,4,4,4,0,0
2021-03-23 01:10:02,7878,85,215,144,0,42,47,47,0,0,0,4,4
2021-03-23 01:15:02,8253,85,213,150,0,43,50,46,3,4,4,0,0
2021-03-23 01:20:02,7728,85,173,144,0,42,48,47,0,0,0,4,3
2021-03-23 01:25:02,9104,85,213,164,0,42,57,53,4,4,4,0,0
2021-03-23 01:30:02,7925,85,215,146,0,42,47,49,0,0,0,3,5
2021-03-23 01:35:02,8500,85,213,152,0,42,51,49,4,4,2,0,0
2021-03-23 01:40:02,9116,85,215,164,0,46,56,54,0,0,0,4,4
2021-03-23 01:45:02,11068,85,213,200,0,56,72,59,5,4,4,0,0
2021-03-23 01:50:02,7109,85,173,134,0,41,43,43,0,0,0,4,3
2021-03-23 01:55:02,8758,85,213,156,0,41,54,49,4,4,4,0,0
2021-03-23 02:00:02,7909,85,215,146,0,42,48,49,0,0,0,2,5
2021-03-23 02:05:02,8320,85,213,152,0,42,51,47,4,4,4,0,0
2021-03-23 02:10:02,7878,85,215,144,0,42,47,47,0,0,0,4,4
2021-03-23 02:15:02,8612,85,213,156,0,42,53,49,3,4,5,0,0
2021-03-23 02:20:02,8157,85,173,150,0,43,51,49,0,0,0,4,3
2021-03-23 02:25:02,9491,85,213,170,0,40,61,55,4,4,4,2,0
2021-03-23 02:30:02,7554,85,215,140,0,42,44,48,0,0,0,1,5
2021-03-23 02:35:02,10964,85,215,188,0,43,70,61,4,2,4,4,0
2021-03-23 02:40:02,6790,85,215,128,0,42,39,43,0,0,0,0,4
2021-03-23 02:45:02,12057,85,213,218,0,59,82,62,4,3,4,4,0
2021-03-23 02:50:02,6736,85,173,128,0,42,40,43,0,0,0,0,3
2021-03-23 02:55:02,10264,85,215,176,0,42,63,58,2,4,4,3,0
2021-03-23 03:00:02,6926,85,173,132,0,42,40,45,0,0,0,0,5
2021-03-23 03:05:02,10053,85,215,178,0,42,64,56,4,4,4,4,0
2021-03-23 03:10:02,6875,85,215,130,0,42,39,45,0,0,0,0,4
2021-03-23 03:15:02,10262,85,213,180,0,41,65,58,4,4,4,4,0
2021-03-23 03:20:02,6575,85,173,126,0,42,39,42,0,0,0,0,3
2021-03-23 03:25:02,10817,85,215,190,0,42,70,63,4,4,4,3,0
2021-03-23 03:30:02,6906,85,173,132,0,42,41,44,0,0,0,0,5
2021-03-23 03:35:02,9899,85,215,174,0,42,62,54,4,4,4,4,0
2021-03-23 03:40:02,6617,85,215,126,0,42,40,42,0,0,0,0,2
2021-03-23 03:45:02,10698,85,213,188,0,42,69,61,4,4,4,4,0
2021-03-23 03:50:02,8953,85,173,170,0,58,56,53,0,0,0,0,3
2021-03-23 03:55:02,10654,85,215,184,0,42,67,60,4,4,4,3,0
2021-03-23 04:00:02,6543,85,173,126,0,42,37,42,0,0,0,0,5
2021-03-23 04:05:02,10565,85,215,186,0,42,68,60,5,4,3,4,0
2021-03-23 04:10:02,6980,85,215,132,0,42,42,44,0,0,0,0,4
2021-03-23 04:15:02,10499,85,213,186,0,41,69,60,4,4,3,5,0
2021-03-23 04:20:02,6383,85,173,122,0,41,37,41,0,0,0,0,3
2021-03-23 04:25:02,9718,85,215,172,0,42,61,55,4,4,3,3,0
2021-03-23 04:30:02,6841,0,173,132,0,42,41,45,0,0,0,0,4
2021-03-23 04:35:02,10570,85,215,184,0,42,67,59,4,4,4,4,0
2021-03-23 04:40:02,6722,85,215,128,0,42,40,42,0,0,0,0,4
2021-03-23 04:45:02,9840,85,213,176,0,41,63,56,4,4,4,4,0
2021-03-23 04:50:02,7489,85,173,142,0,45,47,47,0,0,0,0,3
2021-03-23 04:55:02,11083,85,215,198,0,55,71,57,4,4,4,3,0
2021-03-23 05:00:02,6563,85,173,126,0,42,38,42,0,0,0,0,4
2021-03-23 05:05:02,10917,85,215,190,0,41,70,63,4,4,4,4,0
2021-03-23 05:10:02,6980,85,215,132,0,42,41,45,0,0,0,0,4
2021-03-23 05:15:02,10799,85,213,190,0,43,70,60,4,4,4,5,0
2021-03-23 05:20:02,6488,85,173,124,0,41,39,41,0,0,0,0,3
2021-03-23 05:25:02,10447,85,215,182,0,42,66,60,4,4,3,3,0
2021-03-23 05:30:02,7001,85,173,134,0,43,41,45,0,0,0,0,5
2021-03-23 05:35:02,10583,85,215,182,0,40,66,60,4,4,4,4,0
2021-03-23 05:40:02,6990,85,215,132,0,41,41,46,0,0,0,0,4
2021-03-23 05:45:02,9993,85,213,178,0,43,64,56,4,4,4,3,0
2021-03-23 05:50:02,6746,85,173,128,0,41,41,43,0,0,0,0,3
2021-03-23 05:55:02,13076,85,215,228,0,58,85,70,4,4,4,3,0
2021-03-23 06:00:02,6926,85,173,132,0,40,41,46,0,0,0,0,5
2021-03-23 06:05:02,10004,85,215,176,0,41,63,56,4,4,4,4,0
2021-03-23 06:10:02,6980,85,215,132,0,42,41,45,0,0,0,0,4
2021-03-23 06:15:02,10510,85,213,184,0,42,67,59,4,4,4,4,0
2021-03-23 06:20:02,7041,85,173,134,0,43,42,46,0,0,0,0,3
2021-03-23 06:25:02,9549,85,215,170,0,41,60,55,4,4,4,2,0
2021-03-23 06:30:02,7211,85,173,138,0,43,43,47,0,0,0,0,5
2021-03-23 06:35:02,10422,85,215,184,0,45,66,59,2,4,4,4,0
2021-03-23 06:40:02,7085,85,215,134,0,42,42,46,0,0,0,0,4
2021-03-23 06:45:02,9898,85,213,176,0,42,63,55,4,4,4,4,0
2021-03-23 06:50:02,7349,85,213,138,0,42,45,48,0,0,0,0,3
2021-03-23 06:55:02,10497,85,215,182,0,42,67,59,4,3,4,3,0
2021-03-23 07:00:02,9063,85,213,174,0,59,61,52,0,0,0,0,2
2021-03-23 07:05:02,10150,85,215,180,0,42,65,57,4,4,4,4,0
2021-03-23 07:10:02,6869,85,215,130,0,43,40,43,0,0,0,0,4
2021-03-23 07:15:02,10297,85,213,182,0,42,67,58,4,3,4,4,0
2021-03-23 07:20:02,6913,85,213,130,0,42,42,44,0,0,0,0,2
2021-03-23 07:25:02,8742,85,213,160,0,40,56,52,4,4,2,2,0
2021-03-23 07:30:02,6805,85,213,130,0,42,39,44,0,0,0,0,5
2021-03-23 07:35:02,9875,85,215,174,0,43,62,53,4,4,4,4,0
2021-03-23 07:40:02,7352,85,215,136,0,42,42,47,0,0,0,0,5
2021-03-23 07:45:02,10574,85,213,188,0,42,68,61,4,5,4,4,0
2021-03-23 07:50:02,6540,85,213,124,0,41,39,41,0,0,0,0,3
2021-03-23 07:55:02,10405,85,215,182,0,42,66,60,4,4,4,2,0
2021-03-23 08:00:02,8881,85,213,170,0,56,55,54,0,0,0,0,5
2021-03-23 08:05:02,10318,85,215,184,0,45,67,56,4,4,4,4,0
2021-03-23 08:10:02,6774,85,215,128,0,42,39,43,0,0,0,0,4
2021-03-23 08:15:02,8996,85,213,164,0,40,58,52,4,4,2,4,0
2021-03-23 08:20:02,7093,85,213,134,0,43,43,45,0,0,0,0,3
2021-03-23 08:25:02,11035,85,215,194,0,42,67,65,4,4,4,3,5
2021-03-23 08:30:02,6674,85,213,128,0,43,43,42,0,0,0,0,0
2021-03-23 08:35:02,10215,85,215,178,0,42,61,56,4,4,4,4,3
2021-03-23 08:40:02,6759,85,213,130,0,43,44,43,0,0,0,0,0
2021-03-23 08:45:02,10864,85,213,196,0,42,70,60,4,4,4,9,3
2021-03-23 08:50:02,6389,85,213,122,0,40,41,41,0,0,0,0,0
2021-03-23 08:55:02,11022,85,215,192,0,42,66,64,4,4,4,3,5
2021-03-23 09:00:02,6484,85,213,124,0,41,41,42,0,0,0,0,0
2021-03-23 09:05:02,17671,85,215,306,0,57,114,95,20,6,2,4,8
2021-03-23 09:10:02,7178,85,213,136,0,43,43,46,0,4,0,0,0
2021-03-23 09:15:02,10253,85,213,182,0,43,67,56,5,0,4,4,3
2021-03-23 09:20:02,7077,85,213,134,0,42,42,46,0,4,0,0,0
2021-03-23 09:25:02,10545,85,215,182,0,41,67,60,4,0,4,3,3
2021-03-23 09:30:02,6877,85,213,130,0,42,42,44,0,2,0,0,0
2021-03-23 09:35:02,12947,85,215,222,0,42,71,75,8,15,3,4,4
2021-03-23 09:40:02,6254,85,213,120,0,43,39,38,0,0,0,0,0
2021-03-23 09:45:02,11202,85,213,196,0,41,69,63,4,4,6,5,4
2021-03-23 09:50:02,6254,85,213,120,0,43,39,38,0,0,0,0,0
2021-03-23 09:55:02,10545,85,215,182,0,41,64,59,4,4,4,3,3
2021-03-23 10:00:02,8271,1,213,154,0,43,40,55,0,16,0,0,0
2021-03-23 10:05:02,12846,85,215,220,0,41,64,80,4,20,4,2,5
2021-03-23 10:10:02,8162,85,213,156,0,57,52,47,0,0,0,0,0
