datetime,len_sum,smallest,largest,count_sum,occupied,0xffff,0xbfb8,0x0000,0x0cd0,0x469a,0xab52,0x0e91,0x6493
2021-03-23 00:00:47,2366,85,213,40,0,6,13,13,4,4,0,0,0
2021-03-23 00:01:32,828,85,173,16,0,6,5,5,0,0,0,0,0
2021-03-23 00:02:17,733,85,173,14,0,5,5,4,0,0,0,0,0
2021-03-23 00:03:02,1979,85,173,34,0,5,14,11,0,0,4,0,0
2021-03-23 00:03:47,1724,85,213,32,0,10,12,10,0,0,0,0,0
2021-03-23 00:04:32,933,85,173,18,0,6,6,6,0,0,0,0,0
2021-03-23 00:05:17,933,85,173,18,0,6,6,6,0,0,0,0,0
2021-03-23 00:06:02,838,85,173,16,0,5,5,6,0,0,0,0,0
2021-03-23 00:06:47,1936,93,215,32,0,6,13,9,0,0,0,4,0
2021-03-23 00:07:32,828,85,173,16,0,6,5,5,0,0,0,0,0
2021-03-23 00:08:17,1470,85,173,28,0,9,11,8,0,0,0,0,0
2021-03-23 00:09:02,838,85,173,16,0,5,5,6,0,0,0,0,0
2021-03-23 00:09:47,1491,85,215,26,0,6,6,10,0,0,0,0,4
2021-03-23 00:10:32,933,85,173,18,0,6,6,6,0,0,0,0,0
2021-03-23 00:11:17,2581,85,213,42,0,5,14,15,4,4,0,0,0
2021-03-23 00:12:02,570,95,95,12,0,6,3,3,0,0,0,0,0
2021-03-23 00:12:47,1596,85,213,28,0,6,11,7,0,0,4,0,0
2021-03-23 00:13:32,1429,85,213,26,0,8,9,9,0,0,0,0,0
2021-03-23 00:14:17,933,85,173,18,0,6,6,6,0,0,0,0,0
2021-03-23 00:15:02,933,85,173,18,0,6,6,6,0,0,0,0,0
2021-03-23 00:15:47,933,85,173,18,0,6,6,6,0,0,0,0,0
2021-03-23 00:16:32,1991,85,173,34,0,5,14,11,0,0,0,4,0
2021-03-23 00:17:17,570,95,95,12,0,6,3,3,0,0,0,0,0
2021-03-23 00:18:02,1216,85,173,24,0,10,8,6,0,0,0,0,0
2021-03-23 00:18:47,1284,85,173,24,0,6,9,9,0,0,0,0,0
2021-03-23 00:19:32,1257,85,173,22,0,5,5,9,0,0,0,0,3
2021-03-23 00:20:17,838,85,173,16,0,5,6,5,0,0,0,0,0
2021-03-23 00:21:02,2624,85,213,44,0,6,15,15,4,4,0,0,0
2021-03-23 00:21:47,733,85,173,14,0,5,4,5,0,0,0,0,0
2021-03-23 00:22:32,828,85,173,16,0,6,5,5,0,0,0,0,0
2021-03-23 00:23:17,2607,85,213,46,0,10,19,13,0,0,4,0,0
2021-03-23 00:24:02,933,85,173,18,0,6,6,6,0,0,0,0,0
2021-03-23 00:24:47,838,85,173,16,0,5,5,6,0,0,0,0,0
2021-03-23 00:25:32,838,85,173,16,0,5,5,6,0,0,0,0,0
2021-03-23 00:26:17,2142,85,215,36,0,6,15,13,0,0,0,2,0
2021-03-23 00:27:02,733,85,173,14,0,5,4,5,0,0,0,0,0
2021-03-23 00:27:47,828,85,173,16,0,6,5,5,0,0,0,0,0
2021-03-23 00:28:32,1309,85,161,26,0,10,9,7,0,0,0,0,0
2021-03-23 00:29:17,1522,85,173,28,0,6,6,11,0,0,0,0,5
2021-03-23 00:30:02,933,85,173,18,0,6,6,6,0,0,0,0,0
2021-03-23 00:30:47,2525,85,213,42,0,5,15,15,4,3,0,0,0
2021-03-23 00:31:32,828,85,173,16,0,6,5,5,0,0,0,0,0
2021-03-23 00:32:17,828,85,173,16,0,6,5,5,0,0,0,0,0
2021-03-23 00:33:02,3074,85,213,52,0,10,22,16,0,0,4,0,0
2021-03-23 00:33:47,838,85,173,16,0,5,5,6,0,0,0,0,0
2021-03-23 00:34:32,570,95,95,12,0,6,3,3,0,0,0,0,0
2021-03-23 00:35:17,838,85,173,16,0,5,5,6,0,0,0,0,0
2021-03-23 00:36:02,2299,85,215,38,0,6,16,12,0,0,0,4,0
2021-03-23 00:36:47,1692,85,173,32,0,14,11,7,0,0,0,0,0
2021-03-23 00:37:32,1557,85,173,30,0,11,10,9,0,0,0,0,0
2021-03-23 00:38:17,2100,85,173,40,0,14,15,11,0,0,0,0,0
2021-03-23 00:39:02,1491,85,215,26,0,6,6,10,0,0,0,0,4
2021-03-23 00:39:47,475,95,95,10,0,5,2,3,0,0,0,0,0
2021-03-23 00:40:32,933,85,173,18,0,6,6,6,0,0,0,0,0
2021-03-23 00:41:17,2624,85,213,44,0,6,15,15,4,4,0,0,0
2021-03-23 00:42:02,828,85,173,16,0,6,5,5,0,0,0,0,0
2021-03-23 00:42:47,2074,85,173,36,0,6,15,11,0,0,4,0,0
2021-03-23 00:43:32,1724,85,213,32,0,10,12,10,0,0,0,0,0
2021-03-23 00:44:17,838,85,173,16,0,5,5,6,0,0,0,0,0
2021-03-23 00:45:02,570,95,95,12,0,6,3,3,0,0,0,0,0
2021-03-23 00:45:47,933,85,173,18,0,6,6,6,0,0,0,0,0
2021-03-23 00:46:32,1991,85,173,34,0,5,14,11,0,0,0,4,0
2021-03-23 00:47:17,743,95,173,14,0,6,4,4,0,0,0,0,0
2021-03-23 00:48:02,1567,85,173,30,0,10,11,9,0,0,0,0,0
2021-03-23 00:48:47,838,85,173,16,0,5,5,6,0,0,0,0,0
2021-03-23 00:49:32,1352,85,173,24,0,6,6,9,0,0,0,0,3
2021-03-23 00:50:17,933,85,173,18,0,6,6,6,0,0,0,0,0
2021-03-23 00:51:02,2323,85,213,38,0,5,12,13,4,4,0,0,0
2021-03-23 00:51:47,828,85,173,16,0,6,5,5,0,0,0,0,0
2021-03-23 00:52:32,828,85,173,16,0,6,5,5,0,0,0,0,0
2021-03-23 00:53:17,2981,85,213,50,0,10,21,15,0,0,4,0,0
2021-03-23 00:54:02,838,85,173,16,0,5,5,6,0,0,0,0,0
2021-03-23 00:54:47,933,85,173,18,0,6,6,6,0,0,0,0,0
2021-03-23 00:55:32,933,85,173,18,0,6,6,6,0,0,0,0,0
2021-03-23 00:56:17,1952,93,215,32,0,6,13,10,0,0,0,3,0
2021-03-23 00:57:02,733,85,173,14,0,5,4,5,0,0,0,0,0
2021-03-23 00:57:47,1216,85,173,24,0,10,8,6,0,0,0,0,0
2021-03-23 00:58:32,1284,85,173,24,0,6,9,9,0,0,0,0,0
2021-03-23 00:59:17,1181,85,173,22,0,5,5,9,0,0,0,0,3
2021-03-23 01:00:02,933,85,173,18,0,6,6,6,0,0,0,0,0
2021-03-23 01:00:47,2624,85,213,44,0,6,15,15,4,4,0,0,0
2021-03-23 01:01:32,570,95,95,12,0,6,3,3,0,0,0,0,0
2021-03-23 01:02:17,733,85,173,14,0,5,4,5,0,0,0,0,0
2021-03-23 01:03:02,2137,85,213,38,0,10,15,9,0,0,4,0,0
2021-03-23 01:03:47,828,85,173,16,0,6,5,5,0,0,0,0,0
2021-03-23 01:04:32,638,85,173,12,0,4,3,5,0,0,0,0,0
2021-03-23 01:05:17,733,85,173,14,0,5,4,5,0,0,0,0,0
2021-03-23 01:06:02,2194,85,215,36,0,6,15,11,0,0,0,4,0
2021-03-23 01:06:47,733,85,173,14,0,5,4,5,0,0,0,0,0
2021-03-23 01:07:32,570,95,95,12,0,6,3,3,0,0,0,0,0
2021-03-23 01:08:17,1672,85,173,32,0,10,12,10,0,0,0,0,0
2021-03-23 01:09:02,1396,85,215,24,0,5,5,10,0,0,0,0,4
2021-03-23 01:09:47,933,85,173,18,0,6,6,6,0,0,0,0,0
2021-03-23 01:10:32,933,85,173,18,0,6,6,6,0,0,0,0,0
2021-03-23 01:11:17,1985,85,213,34,0,6,10,11,3,4,0,0,0
2021-03-23 01:12:02,828,85,173,16,0,6,5,5,0,0,0,0,0
2021-03-23 01:12:47,2308,93,213,40,0,10,16,10,0,0,4,0,0
2021-03-23 01:13:32,733,85,173,14,0,5,4,5,0,0,0,0,0
2021-03-23 01:14:17,828,85,173,16,0,6,5,5,0,0,0,0,0
2021-03-23 01:15:02,828,85,173,16,0,6,5,5,0,0,0,0,0
2021-03-23 01:15:47,1830,85,173,32,0,5,13,10,0,0,0,4,0
2021-03-23 01:16:32,828,85,173,16,0,6,5,5,0,0,0,0,0
2021-03-23 01:17:17,828,85,173,16,0,6,5,5,0,0,0,0,0
2021-03-23 01:18:02,1672,85,173,32,0,10,12,10,0,0,0,0,0
2021-03-23 01:18:47,894,85,173,16,0,5,2,6,0,0,0,0,3
2021-03-23 01:19:32,933,85,173,18,0,6,6,6,0,0,0,0,0
2021-03-23 01:20:17,933,85,173,18,0,6,6,6,0,0,0,0,0
2021-03-23 01:21:02,2634,85,213,44,0,5,15,16,4,4,0,0,0
2021-03-23 01:21:47,743,95,173,14,0,6,4,4,0,0,0,0,0
2021-03-23 01:22:32,1216,85,173,24,0,10,8,6,0,0,0,0,0
2021-03-23 01:23:17,2570,85,213,44,0,6,19,15,0,0,4,0,0
2021-03-23 01:24:02,475,95,95,10,0,5,2,3,0,0,0,0,0
