datetime,len_sum,smallest,largest,count_sum,occupied,0x0000,0xbfb8,0xab52,0xffff,0x6493,0x0e91,0x469a,0x0cd0,0xdfb8,0x0e910db012dbfe91
2021-02-03 10:06:54,684,19,161,8,0,3,7,4,2,0,0,0,0,0,0
2021-02-03 10:07:04,353,85,173,3,0,3,2,0,1,0,0,0,0,0,0
2021-02-03 10:07:14,190,95,95,2,0,1,1,0,2,0,0,0,0,0,0
2021-02-03 10:07:24,1183,19,215,13,0,9,4,0,5,8,0,0,0,0,0
2021-02-03 10:07:34,975,19,173,11,0,5,10,0,1,0,6,0,0,0,0
2021-02-03 10:07:44,190,95,95,2,0,1,1,0,2,0,0,0,0,0,0
2021-02-03 10:07:54,258,85,173,2,0,2,2,0,0,0,0,0,0,0,0
2021-02-03 10:08:04,190,95,95,2,0,1,1,0,2,0,0,0,0,0,0
2021-02-03 10:08:14,190,95,95,2,0,1,1,0,2,0,0,0,0,0,0
2021-02-03 10:08:24,95,95,95,1,0,0,1,0,1,0,0,0,0,0,0
2021-02-03 10:08:34,173,173,173,1,0,1,1,0,0,0,0,0,0,0,0
2021-02-03 10:08:44,275,85,95,3,0,2,2,0,2,0,0,0,0,0,0
2021-02-03 10:08:54,95,95,95,1,0,1,0,0,1,0,0,0,0,0,0
2021-02-03 10:09:04,95,95,95,1,0,0,1,0,1,0,0,0,0,0,0
2021-02-03 10:09:14,95,95,95,1,0,1,0,0,1,0,0,0,0,0,0
2021-02-03 10:09:24,95,95,95,1,0,0,1,0,1,0,0,0,0,0,0
2021-02-03 10:09:34,353,85,173,3,0,3,2,0,1,0,0,0,0,0,0
2021-02-03 10:09:44,190,95,95,2,0,1,1,0,2,0,0,0,0,0,0
2021-02-03 10:09:54,95,95,95,1,0,0,1,0,1,0,0,0,0,0,0
2021-02-03 10:10:04,190,95,95,2,0,1,1,0,2,0,0,0,0,0,0
2021-02-03 10:10:14,95,95,95,1,0,1,0,0,1,0,0,0,0,0,0
2021-02-03 10:10:24,702,19,213,8,0,7,1,0,1,0,0,7,0,0,0
2021-02-03 10:10:34,1410,19,213,14,0,6,13,0,1,0,0,0,8,0,0
2021-02-03 10:10:44,190,95,95,2,0,1,1,0,2,0,0,0,0,0,0
2021-02-03 10:10:54,95,95,95,1,0,0,1,0,1,0,0,0,0,0,0
2021-02-03 10:11:04,95,95,95,1,0,1,0,0,1,0,0,0,0,0,0
2021-02-03 10:11:14,190,95,95,2,0,1,1,0,2,0,0,0,0,0,0
2021-02-03 10:11:24,258,85,173,2,0,2,2,0,0,0,0,0,0,0,0
2021-02-03 10:11:34,190,95,95,2,0,1,1,0,2,0,0,0,0,0,0
2021-02-03 10:11:44,190,95,95,2,0,1,1,0,2,0,0,0,0,0,0
2021-02-03 10:11:54,95,95,95,1,0,0,1,0,1,0,0,0,0,0,0
2021-02-03 10:12:04,95,95,95,1,0,1,0,0,1,0,0,0,0,0,0
2021-02-03 10:12:14,448,85,173,4,0,3,3,0,2,0,0,0,0,0,0
2021-02-03 10:12:24,388,97,97,4,0,1,3,0,4,0,0,0,0,0,0
2021-02-03 10:12:34,593,85,213,5,0,4,4,0,2,0,0,0,0,0,0
2021-02-03 10:12:44,190,95,95,2,0,1,1,0,2,0,0,0,0,0,0
2021-02-03 10:12:54,95,95,95,1,0,1,0,0,1,0,0,0,0,0,0
2021-02-03 10:13:04,458,85,173,4,0,3,4,0,1,0,0,0,0,0,0
2021-02-03 10:13:14,95,95,95,1,0,1,0,0,1,0,0,0,0,0,0
2021-02-03 10:13:24,95,95,95,1,0,0,1,0,1,0,0,0,0,0,0
2021-02-03 10:13:34,190,95,95,2,0,1,1,0,2,0,0,0,0,0,0
2021-02-03 10:13:44,95,95,95,1,0,1,0,0,1,0,0,0,0,0,0
2021-02-03 10:13:54,458,85,173,4,0,3,4,0,1,0,0,0,0,0,0
2021-02-03 10:14:04,190,95,95,2,0,1,1,0,2,0,0,0,0,0,0
2021-02-03 10:14:14,95,95,95,1,0,1,0,0,1,0,0,0,0,0,0
2021-02-03 10:14:24,95,95,95,1,0,0,1,0,1,0,0,0,0,0,0
2021-02-03 10:14:34,95,95,95,1,0,1,0,0,1,0,0,0,0,0,0
2021-02-03 10:14:44,190,95,95,2,0,1,1,0,2,0,0,0,0,0,0
2021-02-03 10:14:54,458,85,173,4,0,3,4,0,1,0,0,0,0,0,0
2021-02-03 10:15:04,95,95,95,1,0,1,0,0,1,0,0,0,0,0,0
2021-02-03 10:15:14,190,95,95,2,0,1,1,0,2,0,0,0,0,0,0
2021-02-03 10:15:24,95,95,95,1,0,0,1,0,1,0,0,0,0,0,0
2021-02-03 10:15:34,95,95,95,1,0,1,0,0,1,0,0,0,0,0,0
2021-02-03 10:15:44,553,85,173,5,0,4,4,0,2,0,0,0,0,0,0
2021-02-03 10:15:54,95,95,95,1,0,0,1,0,1,0,0,0,0,0,0
2021-02-03 10:16:04,95,95,95,1,0,1,0,0,1,0,0,0,0,0,0
2021-02-03 10:16:14,95,95,95,1,0,1,0,0,1,0,0,0,0,0,0
2021-02-03 10:16:24,95,95,95,1,0,0,1,0,1,0,0,0,0,0,0
2021-02-03 10:16:34,553,85,173,5,0,4,4,0,2,0,0,0,0,0,0
2021-02-03 10:16:44,1483,19,213,13,0,8,12,5,1,0,0,0,0,0,0
2021-02-03 10:16:54,95,95,95,1,0,0,1,0,1,0,0,0,0,0,0
2021-02-03 10:17:04,95,95,95,1,0,1,0,0,1,0,0,0,0,0,0
2021-02-03 10:17:14,190,95,95,2,0,1,1,0,2,0,0,0,0,0,0
2021-02-03 10:17:24,2214,19,173,24,0,14,17,0,5,6,6,0,0,0,0
2021-02-03 10:17:34,865,85,161,7,0,6,6,0,1,0,1,0,0,0,0
2021-02-03 10:17:44,299,95,109,3,0,2,2,0,2,0,0,0,0,0,0
2021-02-03 10:17:54,95,95,95,1,0,0,1,0,1,0,0,0,0,0,0
2021-02-03 10:18:04,95,95,95,1,0,1,0,0,1,0,0,0,0,0,0
2021-02-03 10:18:14,448,85,173,4,0,3,3,0,2,0,0,0,0,0,0
2021-02-03 10:18:24,95,95,95,1,0,1,0,0,1,0,0,0,0,0,0
2021-02-03 10:18:34,95,95,95,1,0,0,1,0,1,0,0,0,0,0,0
2021-02-03 10:18:44,95,95,95,1,0,1,0,0,1,0,0,0,0,0,0
2021-02-03 10:18:54,95,95,95,1,0,0,1,0,1,0,0,0,0,0,0
2021-02-03 10:19:04,95,95,95,1,0,1,0,0,1,0,0,0,0,0,0
2021-02-03 10:19:14,448,85,173,4,0,3,3,0,2,0,0,0,0,0,0
2021-02-03 10:19:24,95,95,95,1,0,0,1,0,1,0,0,0,0,0,0
2021-02-03 10:19:34,95,95,95,1,0,1,0,0,1,0,0,0,0,0,0
2021-02-03 10:19:44,190,95,95,2,0,1,1,0,2,0,0,0,0,0,0
2021-02-03 10:19:54,95,95,95,1,0,0,1,0,1,0,0,0,0,0,0
2021-02-03 10:20:04,353,85,173,3,0,3,2,0,1,0,0,0,0,0,0
2021-02-03 10:20:14,190,95,95,2,0,1,1,0,2,0,0,0,0,0,0
2021-02-03 10:20:24,470,19,167,6,0,6,0,0,0,0,0,6,0,0,0
